,par_idparcela,Nomenclatura,Tipo_Parcela,Tipo_Valuacion,Estado,desig_oficial,exp_creacion,Fecha_Creacion,fecha_alta_parcela,fxf,vut_vigente,Valuacion,vigencia_desde,porcentaje_copropiedad,Superficie_Tierra_Urbana,Valuacion_Tierra_Urbana,base_imponible_tierra_urbana,Superficie_Tierra_Rural,Valuacion_Tierra_Rural,base_imponible_tierra_rural,Superficie_Mejoras,Valuacion_Mejoras,base_imponible_mejoras,Cantidad_Cuentas,departamento,pedania,localidad,par_entityid,row_number,Nro_Cuenta,ped_nomenclatura,type,coordinates
20,1205199-SANTIAGO,2305604702034017,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 23 LT 8,00001170161,01-1901,03-2007,1.1,665.0,3050231.08,2023-11-01T00:00:00Z,0.0,510.0,373065.0,0,0,0.0,0,196.0,2677166.08,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542728,1006968,230511701614,2305,MultiPolygon,"[[[[4353086.75209097, 6517396.04903606], [4353108.283273, 6517368.86161008], [4353119.87699167, 6517378.29908022], [4353098.28330982, 6517405.45525629], [4353086.75209097, 6517396.04903606]]]]"
21,1200556-SANTIAGO,2305414801009016,URBANO,VAL. URBANO,BALDIO,005 017,,01-1901,03-2007,0.8,595.0,437920.0,2023-11-01T00:00:00Z,0.0,920.0,437920.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4493514,1002689,230531554839,2305,MultiPolygon,"[[[[4354821.65192761, 6513369.12219897], [4354841.65187013, 6513369.3096941], [4354841.18313147, 6513415.30956119], [4354821.18318894, 6513415.09081615], [4354821.65192761, 6513369.12219897]]]]"
22,1202542-SANTIAGO,2305604701034003,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ G-LT 14,00000444664,01-1901,03-2007,0.8,770.0,5448780.48,2024-05-23T00:00:00Z,0.0,1994.0,1228304.0,0,0,0.0,0,582.0,6693625.6,0,2,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542295,1004520,230504446641,2305,MultiPolygon,"[[[[4351676.19350103, 6516707.27009035], [4351688.22472722, 6516756.14494621], [4351669.44353267, 6516762.42618218], [4351657.44355643, 6516713.67632594], [4351676.19350103, 6516707.27009035]]]]"
23,1204955-SANTIAGO,2305604702022007,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 28 LT 22,0000-109136/5,01-1901,03-2007,1.0,595.0,4994086.52,2023-11-01T00:00:00Z,0.0,569.0,338555.0,0,0,0.0,0,335.0,4655531.52,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4543009,1006726,230510913651,2305,MultiPolygon,"[[[[4353243.34545114, 6517675.32944298], [4353250.97042467, 6517654.76700087], [4353275.03285758, 6517664.9232162], [4353267.28288426, 6517684.76691042], [4353243.34545114, 6517675.32944298]]]]"
24,1201610-SANTIAGO,2305414801120008,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 8 LT 8,03051719023,01-1901,03-2007,1.1,735.0,4078790.09,2023-11-01T00:00:00Z,0.0,644.18,520819.53,0,0,0.0,0,224.0,3557970.56,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4493703,1003705,230517190239,2305,MultiPolygon,"[[[[4353949.09251577, 6516017.02097716], [4353985.24866402, 6516027.86468788], [4353981.27992863, 6516042.42714658], [4353933.9363119, 6516028.39594754], [4353949.09251577, 6516017.02097716]]]]"
25,1202415-SANTIAGO,2305604701026031,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ O-LT 4,00000426280,01-1901,03-2007,0.9,595.0,815385.62,2023-11-01T00:00:00Z,0.0,999.0,534964.5,0,0,0.0,0,98.0,280421.12,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542389,1004404,230504262800,2305,MultiPolygon,"[[[[4351809.8181371, 6516801.17603901], [4351830.28683579, 6516835.67593462], [4351804.13066453, 6516851.17589552], [4351789.19320176, 6516825.05097444], [4351809.8181371, 6516801.17603901]]]]"
26,1200463-SANTIAGO,2305414801005009,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ B LT 3,,01-1901,03-2007,1.0,1610.0,2594591.44,2023-11-01T00:00:00Z,0.0,525.0,845250.0,0,0,0.0,0,91.0,1749341.44,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4494050,1002606,230517138199,2305,MultiPolygon,"[[[[4354464.62236355, 6516394.89477068], [4354459.12237914, 6516393.76977513], [4354430.30996085, 6516387.86354851], [4354433.34119878, 6516372.55109219], [4354467.49735194, 6516379.61356431], [4354464.62236355, 6516394.89477068]]]]"
27,1204645-SANTIAGO,2305604702008014,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 41 LTE 4,00001091605,01-1901,03-2007,1.0,595.0,9148535.69,2023-11-01T00:00:00Z,0.0,941.0,559895.0,0,0,0.0,0,321.0,8588640.69,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4543285,1006448,230510916056,2305,MultiPolygon,"[[[[4353056.40856264, 6518008.07852002], [4353060.37729726, 6517990.14107112], [4353103.87717348, 6517997.14104132], [4353099.62718994, 6518016.35973658], [4353056.40856264, 6518008.07852002]]]]"
28,1202841-SANTIAGO,2305604701049013,URBANO,VAL. URBANO,EDIFICADO PH,MANZANA 3- LOTE 17 - PH,0000-063498/4,01-1901,03-2007,0.7,735.0,1585458.395,2023-11-01T00:00:00Z,1.0,1100.0,565950.0,0,0,0.0,0,214.0,2479660.8,0,2,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542054,1004789,230525026251,2305,MultiPolygon,"[[[[4350763.07109168, 6516535.77078903], [4350809.258452, 6516505.58336614], [4350820.78967278, 6516523.42706193], [4350774.38356301, 6516553.27073586], [4350763.07109168, 6516535.77078903]]]]"
29,1205012-SANTIAGO,2305604702025002,URBANO,VAL. URBANO,EDIFICADO NoPH,LTE 2 MZ 36,00000830933,01-1901,03-2007,1.0,490.0,2762040.29,2023-11-01T00:00:00Z,0.0,510.0,249900.0,0,0,0.0,0,160.0,2512140.29,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4543066,1006782,230508309339,2305,MultiPolygon,"[[[[4352881.59650436, 6517726.17312488], [4352902.65894793, 6517745.45431442], [4352891.28398337, 6517757.70428143], [4352870.09654012, 6517738.14184273], [4352881.59650436, 6517726.17312488]]]]"
